a	un, uno, una[Article]
abberations	UNKNOWN WORD IN ENGLISH
abbey	abadi/a
abbey	abad�a[Noun]
abbeys	Abad�as, monasterios, conventos
abbeys	abadi/as
abbot	Abad
abbot	abad
abbots	abades
abbots	Abates. NO ABADES.
abbreviate	abreviar
abbreviate	Abreviar, simplificar.
abbreviate	acortar[Verb]
abbreviate	abreviar
abbreviated	abreviado
abbreviated	Abreviado, simplificado, acortado, reducido.NO CORTADO.
abbreviated	cortado
abbreviates	abrevia
abbreviates	Reducciones, res�menes, abreviaciones, compendios.
abbreviating	abreviando
abbreviation	abreviacio/n
abbreviation	abreviatura
abbreviation	abreviatura[Noun]
abbreviations	abreviaciones
abbreviations	abreviaturas
abbreviator	abreviador
abc	abc
abc	abecedario
abdicable	abdicable, que puede abdicar
abdicate	abdicar
abdicate	renunciar a; abdicar[Verb]
abdicated	abdicado (participio de abdicar)
abdication	abdicacio/n
abdication	renuncia; abdicaci�n (de un monarca)[Noun]
abdicator	abdicador
abdomen	abdo/men
abdomen	abdomen[Noun]
abdomen	(inf.)barriga, vientre
abdomens	abdomenes
abdomens	abdo/menes[Noun]
abdomens	abd�menes[Noun]
abdominal	abdominal
abdominally	abdominalmente
abduce	abducir
abduced	abducido
abducens	m�sculo abductor
abducens	separador
abducent	Abductor
abducent	separador
abducentes	abducentes
abducing	Abductor
abducing	separaci�n
abduct	secuestrar, raptar
abducted	secuestrado, raptado
abducted	Separado de la l�nea media del cuerpo.
abducting	secuestrando, raptando
abducting	separando, alejando de la l�nea media.
abduction	Abducci�n, secuestro, rapto
abduction	secuestro, rapto
abductions	secuestros, raptos
abductor	Abductor
abductor	secuestrador
abductors	Abductores
abductors	secuestradores
abducts	secuestra, rapta
abeam	al trav/es
abeam	De trav�s
abecedarian	abecedario
abed	en cama, acostado
aberrance	equivocacio/n, extravi/o
aberrancy	aberraci/on
aberrancy	error
aberrant	aberrante
aberrant	ano/malo, irregular, errado
aberrantly	aberrantemente
aberrate	aberrar
aberrate	desviar
aberrated	aberrado
aberrated	desviado
aberration	aberracio/n
aberration	desviacio/n
aberrational	aberrante; desviado[Adjective]
aberrations	aberraciones
aberrations	desvi/os
abet	animar, colaborar
abet	ayudar
abet	Incitar, inducir, To aid and abet, ser c�mplice de.
abet	instigar, incitar, inducir
abetment	colaboracio/n
abetment	Complicidad.
abetment	instigaci/n, apoyo
abetment	instigaci�n, apoyo
